,DraftYr,Rk,Tm,Player,College,Yrs,G,TOTMP,TOTPTS,TOTTRB,TOTAST,FG%,3P%,FT%
1722,2019,34,PHI,Bruno Fernando,Maryland,3,111,1010,320,297,63,0.498,0.146,0.617
1723,2019,35,ATL,Didi Louzada,,2,5,63,8,5,4,0.188,0.182,
1724,2019,36,CHA,Cody Martin,Nevada,3,149,3086,836,527,309,0.444,0.325,0.642
1725,2019,37,DAL,Deividas Sirvydis,,2,23,160,44,35,6,0.3,0.314,0.5
1726,2019,38,CHI,Daniel Gafford,Arkansas,3,146,2401,1032,630,99,0.683,,0.664
1727,2019,39,NOP,Alen Smailagić,,2,29,223,87,43,17,0.463,0.304,0.72
1728,2019,40,SAC,Justin James,Wyoming,2,72,542,228,62,40,0.446,0.343,0.544
1729,2019,41,GSW,Eric Paschall,Villanova,3,144,2932,1476,494,205,0.495,0.326,0.755
1730,2019,42,PHI,Admiral Schofield,Tennessee,2,57,639,182,96,31,0.419,0.324,0.682
1731,2019,43,MIN,Jaylen Nowell,Washington,3,99,1523,761,190,168,0.436,0.326,0.803
1732,2019,44,MIA,Bol Bol,Oregon,3,53,328,142,63,18,0.478,0.378,0.667
1733,2019,45,DET,Isaiah Roby,Nebraska,3,86,1769,686,424,122,0.488,0.319,0.729
1734,2019,46,ORL,Talen Horton-Tucker,Iowa State,3,113,2473,1018,317,299,0.438,0.279,0.779
1735,2019,47,SAC,Ignas Brazdeikis,Michigan,3,50,553,187,86,42,0.377,0.319,0.765
1736,2019,48,LAC,Terance Mann,Florida State,3,168,3359,1202,609,299,0.492,0.379,0.77
1737,2019,49,SAS,Quinndary Weatherspoon,Mississippi State,3,36,232,72,24,21,0.435,0.167,0.8
1738,2019,50,IND,Jarrell Brantley,College of Charleston,2,37,234,88,47,26,0.438,0.366,0.75
1739,2019,51,BOS,Tremont Waters,LSU,3,40,407,149,37,85,0.354,0.296,0.96
1740,2019,52,CHA,Jalen McDaniels,San Diego State,3,102,1882,692,370,109,0.477,0.353,0.709
1741,2019,53,UTA,Justin Wright-Foreman,Hofstra,1,4,45,19,5,7,0.35,0.2,0.75
1742,2019,54,PHI,Marial Shayok,Iowa State,1,4,28,11,7,1,0.25,0.333,0.75
1743,2019,55,NYK,Kyle Guy,Virginia,3,49,420,164,49,50,0.373,0.321,0.767
1744,2019,56,LAC,Jaylen Hands,UCLA,,,,,,,,,
1745,2019,57,NOP,Jordan Bone,Tennessee,2,24,249,68,28,26,0.378,0.286,
1746,2019,58,GSW,Miye Oni,Yale,3,80,672,145,108,37,0.35,0.33,0.75
1747,2019,59,TOR,Dewan Hernandez,Miami (FL),1,6,28,14,14,3,0.357,0.5,0.6
1748,2019,60,SAC,Vanja Marinković,,,,,,,,,,
1629,2018,1,PHO,Deandre Ayton,Arizona,4,215,6610,3455,2272,349,0.595,0.196,0.751
1630,2018,2,SAC,Marvin Bagley III,Duke,4,150,3713,2010,1115,133,0.493,0.298,0.665
1631,2018,3,ATL,Luka Dončić,,4,243,8186,6327,2067,1929,0.456,0.332,0.734
1632,2018,4,MEM,Jaren Jackson Jr.,Michigan State,4,185,5037,2932,950,217,0.457,0.353,0.779
1633,2018,5,DAL,Trae Young,Oklahoma,4,257,8572,6396,1007,2300,0.437,0.352,0.868
1634,2018,6,ORL,Mo Bamba,Texas,4,204,3641,1479,1187,180,0.47,0.333,0.68
1635,2018,7,CHI,Wendell Carter Jr.,Duke,4,192,5238,2260,1675,372,0.507,0.291,0.738
1636,2018,8,CLE,Collin Sexton,Alabama,4,218,7179,4356,663,720,0.458,0.378,0.827
1637,2018,9,NYK,Kevin Knox,Kentucky,4,203,3956,1608,615,170,0.368,0.342,0.704
1638,2018,10,PHI,Mikal Bridges,Villanova,4,285,8826,3096,1117,577,0.505,0.374,0.832
1639,2018,11,CHA,Shai Gilgeous-Alexander,Kentucky,4,230,7269,4026,1013,945,0.467,0.345,0.807
1640,2018,12,LAC,Miles Bridges,Michigan State,4,269,7726,3441,1500,564,0.467,0.34,0.808
1641,2018,13,LAC,Jerome Robinson,Boston College,3,113,1604,514,208,131,0.363,0.31,0.721
1642,2018,14,DEN,Michael Porter Jr.,Missouri,3,125,3080,1763,763,133,0.518,0.419,0.795
1643,2018,15,WAS,Troy Brown Jr.,Oregon,4,203,3904,1346,803,342,0.426,0.33,0.754
1644,2018,16,PHO,Zhaire Smith,Texas Tech,2,13,143,48,15,12,0.378,0.316,0.667
1645,2018,17,MIL,Donte DiVincenzo,Villanova,4,179,4161,1579,836,429,0.421,0.34,0.755
1646,2018,18,SAS,Lonnie Walker IV,Miami (FL),4,192,3858,1708,450,301,0.41,0.339,0.788
1647,2018,19,ATL,Kevin Huerter,Maryland,4,251,7414,2825,866,811,0.43,0.376,0.787
1648,2018,20,MIN,Josh Okogie,Georgia Tech,4,228,4909,1504,702,271,0.4,0.273,0.755
1649,2018,21,UTA,Grayson Allen,Duke,4,175,3764,1637,434,259,0.424,0.386,0.837
1650,2018,22,CHI,Chandler Hutchison,Boise State,4,103,1790,558,376,79,0.442,0.309,0.643
1651,2018,23,IND,Aaron Holiday,UCLA,4,226,4142,1669,385,521,0.415,0.371,0.827
1652,2018,24,POR,Anfernee Simons,,4,207,4249,2055,448,404,0.425,0.39,0.828
1653,2018,25,LAL,Moritz Wagner,Michigan,4,178,2567,1252,560,179,0.486,0.32,0.812
1654,2018,26,PHI,Landry Shamet,Wichita State,4,238,5548,2112,432,386,0.408,0.39,0.837
1655,2018,27,BOS,Robert Williams,Texas A&M,4,160,3064,1116,1024,221,0.725,0,0.65
1656,2018,28,GSW,Jacob Evans,Cincinnati,2,59,622,168,66,54,0.337,0.315,0.833
1657,2018,29,BRK,Džanan Musa,,2,49,526,211,91,45,0.376,0.227,0.726
1658,2018,30,ATL,Omari Spellman,Villanova,2,95,1691,642,413,94,0.417,0.366,0.766
1659,2018,31,PHO,Elie Okobo,,2,108,1677,523,188,242,0.395,0.315,0.737
1660,2018,32,MEM,Jevon Carter,West Virginia,4,203,2791,872,343,270,0.375,0.369,0.789
1661,2018,33,DAL,Jalen Brunson,Villanova,4,256,6171,2944,756,971,0.494,0.373,0.786
1662,2018,34,ATL,Devonte' Graham,Kansas,4,219,6234,2891,564,1131,0.372,0.358,0.825
1663,2018,35,ORL,Melvin Frazier,Tulane,2,29,170,55,15,4,0.4,0.364,0.375
1664,2018,36,NYK,Mitchell Robinson,,4,211,4973,1777,1566,113,0.719,,0.555
1665,2018,37,SAC,Gary Trent Jr.,Duke,4,182,4920,2360,391,238,0.422,0.394,0.793
1666,2018,38,PHI,Khyri Thomas,Creighton,3,39,409,160,39,36,0.388,0.316,0.75
1667,2018,39,PHI,Isaac Bonga,,4,141,1868,438,320,117,0.432,0.3,0.763
1668,2018,40,BRK,Rodions Kurucs,,3,131,2103,780,406,113,0.444,0.329,0.739
1669,2018,41,ORL,Jarred Vanderbilt,Kentucky,4,146,2659,767,877,155,0.596,0.167,0.609
1670,2018,42,DET,Bruce Brown,Miami (FL),4,247,5598,1732,1023,491,0.474,0.301,0.739
1671,2018,43,DEN,Justin Jackson,Maryland,,,,,,,,,
1672,2018,44,WAS,Issuf Sanon,,,,,,,,,,
1673,2018,45,BRK,Hamidou Diallo,Kentucky,4,200,3799,1676,787,218,0.473,0.276,0.634
1674,2018,46,HOU,De'Anthony Melton,USC,4,213,4352,1684,745,602,0.405,0.347,0.757
1675,2018,47,LAL,Svi Mykhailiuk,Kansas,4,207,3683,1424,392,293,0.4,0.354,0.779
1676,2018,48,MIN,Keita Bates-Diop,Ohio State,4,149,2224,757,434,86,0.451,0.308,0.696
1677,2018,49,SAS,Chimezie Metu,USC,4,125,1669,712,427,98,0.456,0.288,0.755
1678,2018,50,IND,Alize Johnson,Missouri State,4,68,510,173,205,30,0.493,0.25,0.718
1679,2018,51,NOP,Tony Carr,Penn State,,,,,,,,,
1680,2018,52,UTA,Vince Edwards,Purdue,1,2,16,3,2,0,0.25,0.25,
1681,2018,53,OKC,Devon Hall,Virginia,1,11,81,20,7,13,0.2,0.235,0.5
1682,2018,54,DAL,Shake Milton,SMU,4,154,3289,1589,367,403,0.446,0.361,0.825
1683,2018,55,CHA,Arnoldas Kulboka,,1,1,3,0,0,0,,,
1684,2018,56,PHI,Ray Spalding,Louisville,2,16,167,58,52,5,0.529,0,0.286
1685,2018,57,OKC,Kevin Hervey,UT Arlington,1,10,52,17,12,5,0.259,0.15,
1686,2018,58,DEN,Thomas Welsh,UCLA,1,11,36,18,4,5,0.538,0.429,0.5
1687,2018,59,PHO,George King,Colorado,2,5,25,1,6,0,0,0,0.5
1688,2018,60,PHI,Kostas Antetokounmpo,Dayton,3,22,87,21,23,3,0.375,,0.474
1569,2017,1,PHI,Markelle Fultz,Washington,4,113,2891,1228,376,524,0.447,0.265,0.695
1570,2017,2,LAL,Lonzo Ball,UCLA,5,252,8187,2995,1447,1563,0.4,0.364,0.578
1571,2017,3,BOS,Jayson Tatum,Duke,5,345,11473,7033,2280,1005,0.453,0.38,0.842
1572,2017,4,PHO,Josh Jackson,Kansas,5,280,6598,3224,1141,529,0.417,0.293,0.679
1573,2017,5,SAC,De'Aaron Fox,Kentucky,5,311,9894,5826,1094,1922,0.459,0.317,0.725
